seed,feats,layers,units,dropout,ngram,min_df,max_df,stop,val_acc
12345,5000,5,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,6000,1,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,6000,2,64,0.2,2,0.0,1.0,english,0.7340425252914429
12345,6000,3,64,0.2,2,0.0,1.0,english,0.7659574747085571
12345,6000,4,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,6000,5,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,7000,1,64,0.2,2,0.0,1.0,english,0.6063829660415649
12345,7000,2,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,7000,3,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,7000,4,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,7000,5,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,8000,1,64,0.2,2,0.0,1.0,english,0.5957446694374084
12345,8000,2,64,0.2,2,0.0,1.0,english,0.7021276354789734
12345,8000,3,64,0.2,2,0.0,1.0,english,0.5957446694374084
12345,8000,4,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,8000,5,64,0.2,2,0.0,1.0,english,0.7765957713127136
12345,9000,1,64,0.2,2,0.0,1.0,english,0.585106372833252
12345,9000,2,64,0.2,2,0.0,1.0,english,0.6808510422706604
12345,9000,3,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,9000,4,64,0.2,2,0.0,1.0,english,0.7340425252914429
12345,9000,5,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,10000,1,64,0.2,2,0.0,1.0,english,0.6382978558540344
12345,10000,2,64,0.2,2,0.0,1.0,english,0.5319148898124695
12345,10000,3,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,10000,4,64,0.2,2,0.0,1.0,english,0.6276595592498779
12345,10000,5,64,0.2,2,0.0,1.0,english,0.6808510422706604
12345,11000,1,64,0.2,2,0.0,1.0,english,0.6276595592498779
12345,11000,2,64,0.2,2,0.0,1.0,english,0.6702127456665039
12345,11000,3,64,0.2,2,0.0,1.0,english,0.6808510422706604
12345,11000,4,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,11000,5,64,0.2,2,0.0,1.0,english,0.6808510422706604
12345,12000,1,64,0.2,2,0.0,1.0,english,0.6276595592498779
12345,12000,2,64,0.2,2,0.0,1.0,english,0.6489361524581909
12345,12000,3,64,0.2,2,0.0,1.0,english,0.6276595592498779
12345,12000,4,64,0.2,2,0.0,1.0,english,0.6382978558540344
12345,12000,5,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,13000,1,64,0.2,2,0.0,1.0,english,0.6276595592498779
12345,13000,2,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,13000,3,64,0.2,2,0.0,1.0,english,0.6489361524581909
12345,13000,4,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,13000,5,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,14000,1,64,0.2,2,0.0,1.0,english,0.5957446694374084
12345,14000,2,64,0.2,2,0.0,1.0,english,0.6276595592498779
12345,14000,3,64,0.2,2,0.0,1.0,english,0.7553191781044006
12345,14000,4,64,0.2,2,0.0,1.0,english,0.6170212626457214
12345,14000,5,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,15000,1,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,15000,2,64,0.2,2,0.0,1.0,english,0.6382978558540344
12345,15000,3,64,0.2,2,0.0,1.0,english,0.7659574747085571
12345,15000,4,64,0.2,2,0.0,1.0,english,0.6382978558540344
12345,15000,5,64,0.2,2,0.0,1.0,english,0.7659574747085571
12345,16000,1,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,16000,2,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,16000,3,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,16000,4,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,16000,5,64,0.2,2,0.0,1.0,english,0.6595744490623474
12345,17000,1,64,0.2,2,0.0,1.0,english,0.6489361524581909
12345,17000,2,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,17000,3,64,0.2,2,0.0,1.0,english,0.6170212626457214
12345,17000,4,64,0.2,2,0.0,1.0,english,0.7446808218955994
12345,17000,5,64,0.2,2,0.0,1.0,english,0.6595744490623474
12345,18000,1,64,0.2,2,0.0,1.0,english,0.7553191781044006
12345,18000,2,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,18000,3,64,0.2,2,0.0,1.0,english,0.6808510422706604
12345,18000,4,64,0.2,2,0.0,1.0,english,0.7234042286872864
12345,18000,5,64,0.2,2,0.0,1.0,english,0.7340425252914429
12345,19000,1,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,19000,2,64,0.2,2,0.0,1.0,english,0.6914893388748169
12345,19000,3,64,0.2,2,0.0,1.0,english,0.7127659320831299
12345,19000,4,64,0.2,2,0.0,1.0,english,0.7872340679168701
